gps_millis,timestamp,mean_cn0,std_cn0,max_cn0,min_cn0,cn0_range,high_cn0_alert,low_cn0_alert,low_cn0_variance,power_step_detected,spoofing_alert
1387195200000.0,2023-12-21 12:00:00,39.099998474121094,5.906775951385498,49.0,25.0,24.0,False,False,False,False,False
1387195201000.0,2023-12-21 12:00:01,39.099998474121094,5.906775951385498,49.0,25.0,24.0,False,False,False,False,False
1387195202000.0,2023-12-21 12:00:02,39.150001525878906,5.876010417938232,49.0,25.0,24.0,False,False,False,False,False
1387195203000.0,2023-12-21 12:00:03,39.125,5.899947166442871,49.0,25.0,24.0,False,False,False,False,False
1387195204000.0,2023-12-21 12:00:04,39.099998474121094,5.948949813842773,49.0,25.0,24.0,False,False,False,False,False
1387195205000.0,2023-12-21 12:00:05,39.099998474121094,6.0199666023254395,49.0,25.0,24.0,False,False,False,False,False
1387195206000.0,2023-12-21 12:00:06,39.07500076293945,5.968197345733643,49.0,24.0,25.0,False,False,False,False,False
1387195207000.0,2023-12-21 12:00:07,39.099998474121094,5.978294372558594,49.0,24.0,25.0,False,False,False,False,False
1387195208000.0,2023-12-21 12:00:08,39.099998474121094,5.999166965484619,49.0,24.0,25.0,False,False,False,False,False
1387195209000.0,2023-12-21 12:00:09,39.125,5.963168144226074,49.0,25.0,24.0,False,False,False,False,False
1387195210000.0,2023-12-21 12:00:10,39.07500076293945,6.030703067779541,49.0,24.0,25.0,False,False,False,False,False
1387195211000.0,2023-12-21 12:00:11,39.17499923706055,6.041057109832764,49.0,24.0,25.0,False,False,False,False,False
1387195212000.0,2023-12-21 12:00:12,39.150001525878906,5.98978328704834,49.0,25.0,24.0,False,False,False,False,False
1387195213000.0,2023-12-21 12:00:13,39.20000076293945,5.938013076782227,49.0,25.0,24.0,False,False,False,False,False
1387195214000.0,2023-12-21 12:00:14,39.150001525878906,5.989782810211182,49.0,25.0,24.0,False,False,False,False,False
1387195215000.0,2023-12-21 12:00:15,39.17499923706055,6.003696918487549,49.0,25.0,24.0,False,False,False,False,False
1387195216000.0,2023-12-21 12:00:16,39.25,6.036348342895508,49.0,25.0,24.0,False,False,False,False,False
1387195217000.0,2023-12-21 12:00:17,39.20000076293945,6.071243762969971,49.0,25.0,24.0,False,False,False,False,False
1387195218000.0,2023-12-21 12:00:18,39.25,6.085844039916992,49.0,25.0,24.0,False,False,False,False,False
1387195219000.0,2023-12-21 12:00:19,39.224998474121094,6.010355472564697,49.0,25.0,24.0,False,False,False,False,False
1387195220000.0,2023-12-21 12:00:20,39.17499923706055,6.012019634246826,49.0,25.0,24.0,False,False,False,False,False
1387195221000.0,2023-12-21 12:00:21,39.099998474121094,6.024118423461914,49.0,25.0,24.0,False,False,False,False,False
1387195222000.0,2023-12-21 12:00:22,39.17499923706055,5.915604591369629,49.0,25.0,24.0,False,False,False,False,False
1387195223000.0,2023-12-21 12:00:23,39.125,6.025726318359375,49.0,25.0,24.0,False,False,False,False,False
1387195224000.0,2023-12-21 12:00:24,39.150001525878906,5.9814300537109375,49.0,25.0,24.0,False,False,False,False,False
1387195225000.0,2023-12-21 12:00:25,39.17499923706055,5.961910247802734,49.0,25.0,24.0,False,False,False,False,False
1387195226000.0,2023-12-21 12:00:26,39.125,5.996613502502441,49.0,25.0,24.0,False,False,False,False,False
1387195227000.0,2023-12-21 12:00:27,39.150001525878906,6.023080825805664,49.0,25.0,24.0,False,False,False,False,False
1387195228000.0,2023-12-21 12:00:28,39.17499923706055,6.0658369064331055,49.0,25.0,24.0,False,False,False,False,False
1387195229000.0,2023-12-21 12:00:29,39.275001525878906,5.924472332000732,49.0,25.0,24.0,False,False,False,False,False
1387195230000.0,2023-12-21 12:00:30,39.17499923706055,6.007859706878662,49.0,25.0,24.0,False,False,False,False,False
1387195231000.0,2023-12-21 12:00:31,39.25,5.961333751678467,49.0,25.0,24.0,False,False,False,False,False
1387195232000.0,2023-12-21 12:00:32,39.07500076293945,6.030702590942383,49.0,25.0,24.0,False,False,False,False,False
1387195233000.0,2023-12-21 12:00:33,39.32500076293945,6.0057783126831055,49.0,25.0,24.0,False,False,False,False,False
1387195234000.0,2023-12-21 12:00:34,39.275001525878906,6.033189296722412,49.0,25.0,24.0,False,False,False,False,False
1387195235000.0,2023-12-21 12:00:35,39.224998474121094,5.972802639007568,49.0,25.0,24.0,False,False,False,False,False
1387195236000.0,2023-12-21 12:00:36,39.17499923706055,6.036917686462402,49.0,25.0,24.0,False,False,False,False,False
1387195237000.0,2023-12-21 12:00:37,39.07500076293945,6.02655553817749,49.0,25.0,24.0,False,False,False,False,False
1387195238000.0,2023-12-21 12:00:38,38.95000076293945,6.049586772918701,49.0,25.0,24.0,False,False,False,False,False
1387195239000.0,2023-12-21 12:00:39,38.95000076293945,5.991452217102051,49.0,25.0,24.0,False,False,False,False,False
1387195240000.0,2023-12-21 12:00:40,39.150001525878906,6.002291202545166,49.0,25.0,24.0,False,False,False,False,False
1387195241000.0,2023-12-21 12:00:41,39.025001525878906,6.006195068359375,49.0,25.0,24.0,False,False,False,False,False
1387195242000.0,2023-12-21 12:00:42,39.125,6.025726318359375,49.0,25.0,24.0,False,False,False,False,False
1387195243000.0,2023-12-21 12:00:43,39.07500076293945,5.993277549743652,49.0,25.0,24.0,False,False,False,False,False
1387195244000.0,2023-12-21 12:00:44,39.025001525878906,5.976987361907959,49.0,25.0,24.0,False,False,False,False,False
1387195245000.0,2023-12-21 12:00:45,39.07500076293945,6.009939670562744,49.0,25.0,24.0,False,False,False,False,False
1387195246000.0,2023-12-21 12:00:46,39.07500076293945,6.0555243492126465,49.0,25.0,24.0,False,False,False,False,False
1387195247000.0,2023-12-21 12:00:47,39.04999923706055,6.033034324645996,49.0,25.0,24.0,False,False,False,False,False
1387195248000.0,2023-12-21 12:00:48,38.974998474121094,6.097079277038574,49.0,25.0,24.0,False,False,False,False,False
